star_id,planet_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,snr,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag
6049470,K08115.01,FALSE POSITIVE,354.7897,12.62,81.0,0.47,134.0,0.08,9.2,3778.0,4.742,0.515,293.96423,41.318802,10.067
6043574,K08114.01,FALSE POSITIVE,381.782641,4.52,367.6,55.75,384.0,5.12,8.6,6056.0,3.816,2.29,292.19037,41.31144,12.428
5956977,K08113.01,FALSE POSITIVE,77.773042,2.285,432.6,15.03,955.0,196.5,7.7,4763.0,2.685,7.068,290.71783,41.247318,12.393
5955427,K08112.01,FALSE POSITIVE,213.201978,15.396,696.9,1.91,221.0,0.56,12.9,4594.0,4.557,0.752,290.2196,41.246811,15.599
5955197,K08111.01,CANDIDATE,359.33831,18.566,977.9,2.33,216.0,0.52,15.8,5316.0,4.539,0.753,290.14304,41.27755,15.825
5872139,K08110.01,FALSE POSITIVE,375.17737,20.52,1230.0,3.64,264.0,1.15,13.7,6089.0,4.468,1.024,290.42435,41.183498,15.92
5858919,K08109.01,CANDIDATE,218.771117,3.201,140.1,250.2,1997.0,3757.91,8.4,3297.0,0.236,151.184,285.29388,41.1026,12.429
5812648,K08108.01,FALSE POSITIVE,238.561202,11.9,260.2,5.75,568.0,24.55,16.4,6565.0,3.573,3.308,297.44507,41.010571,12.995
5802205,K08107.01,CANDIDATE,578.88761,18.521,76.8,1.69,315.0,2.32,15.1,6180.0,3.946,1.917,295.08749,41.037395,11.402
5791705,K08106.01,FALSE POSITIVE,614.39054,9.312,289.1,2.43,269.0,1.24,10.2,6228.0,4.193,1.427,292.06931,41.042858,13.541
5775090,K08105.01,FALSE POSITIVE,432.96732,10.85,866.0,1.64,151.0,0.12,10.0,4403.0,4.7,0.576,286.24023,41.022572,15.848
5709226,K08104.01,FALSE POSITIVE,317.99484,7.28,719.0,2.22,241.0,0.79,8.4,5665.0,4.568,0.82,292.96835,40.954239,15.181
5647008,K08103.01,FALSE POSITIVE,0.799868354,6.613,4928.8,34.7,1816.0,2581.61,251.4,5568.0,4.488,0.882,298.52679,40.858391,14.335
5637036,K08102.01,FALSE POSITIVE,171.046664,2.438,731.0,32.31,827.0,110.64,9.8,4932.0,2.697,12.048,296.42337,40.892471,12.769
5598216,K08101.01,FALSE POSITIVE,373.8716,16.78,382.7,2.19,279.0,1.44,10.3,5846.0,4.258,1.116,283.56866,40.865761,13.683
5305225,K08100.01,FALSE POSITIVE,322.50741,20.688,349.5,2.11,257.0,1.03,13.7,5708.0,4.465,0.933,298.89359,40.437752,14.013
5288744,K08099.01,FALSE POSITIVE,333.71634048,4.8236,420.2,3.53,362.0,4.05,3.1,6045.0,3.956,1.719,295.53885,40.409279,13.435
5128966,K08098.01,FALSE POSITIVE,0.505322676,5.2727,77349.0,46.59,2275.0,6291.87,384.6,5941.0,4.49,0.924,298.89563,40.28949,14.457
4763020,K08097.01,FALSE POSITIVE,384.09781,12.55,100.1,1.63,330.0,2.8,8.7,5884.0,3.979,1.628,295.94016,39.849072,12.578
4738095,K08096.01,FALSE POSITIVE,309.933134,7.165,176.1,1.8,319.0,2.43,8.3,6299.0,4.325,1.262,289.16815,39.829182,13.147
4645492,K08095.01,FALSE POSITIVE,508.04103,5.398,371.7,1.89,217.0,0.53,9.9,5672.0,4.503,0.965,288.97824,39.750259,13.942
4557341,K08094.01,FALSE POSITIVE,361.901618,4.984,184.1,0.95,198.0,0.37,8.5,5053.0,4.603,0.717,290.37891,39.694,12.673
4371172,K08093.01,FALSE POSITIVE,73.992267,5.692,225.6,2.86,546.0,20.98,7.9,5271.0,3.878,1.895,293.22186,39.430443,13.791
4276445,K08092.01,FALSE POSITIVE,405.65377,11.02,521.0,2.03,246.0,0.87,7.7,6102.0,4.528,0.887,294.93173,39.36182,15.24
4056579,K08091.01,FALSE POSITIVE,239.179477,2.93,750.9,18.27,583.0,27.38,12.1,4915.0,3.063,6.877,291.40619,39.184292,13.265
3954211,K08090.01,FALSE POSITIVE,0.594274521,2.162,4691.5,8.7,2436.0,8367.99,83.9,6321.0,4.417,1.125,291.49051,39.04866,15.676
3663850,K08089.01,CANDIDATE,141.400279,3.031,790.1,41.55,945.0,188.78,12.9,4936.0,2.609,14.907,295.80203,38.797932,12.783
3533483,K08088.01,FALSE POSITIVE,308.185801,3.689,708.7,2.12,230.0,0.66,9.5,5380.0,4.581,0.813,288.10904,38.652012,14.664
