planet_id,star_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag,stellar_dist,disposition_aligned
7189.01,18885659,PC,2.8890956,2.232,36105.0,12.4627,867.0,94.1363,3643.0,4.66,0.59,273.037898,2.188262,13.8273,192.09,CANDIDATE
719.01,184952758,FP,4.109953,4.641,434.0,1.81345,1601.0,1091.8,5653.0,4.46,0.97,128.144178,-36.346818,9.0349,84.7306,FALSE POSITIVE
7190.01,277499689,PC,4.1223508,3.103,9275.0,11.9742,1337.0,532.039,6116.7,,1.28,268.642503,11.678194,11.854,,CANDIDATE
7191.01,364007087,PC,5.6604695,4.651,3523.0,8.32101,1340.0,536.569,5711.0,4.04,1.6,266.981369,22.543736,12.4188,636.574,CANDIDATE
7192.01,123234747,PC,16.3425332,3.985,748.0,3.45358,1325.0,512.943,5946.0,4.52,0.95,281.245834,44.067393,10.3691,166.363,CANDIDATE
7193.01,325086150,FP,5.4934218,3.658,18470.0,17.1065,1192.0,335.209,6028.0,4.29,1.25,268.665324,3.68699,11.9742,421.48,FALSE POSITIVE
7194.01,24499407,PC,4.167309,4.056,7537.0,12.5792,1625.0,1160.33,6552.0,4.17,1.59,271.876724,11.330061,12.5502,828.804,CANDIDATE
7195.01,62682198,PC,3.8242663,2.337,20057.0,13.0807,1010.0,173.28,5211.0,4.39,1.0,269.093655,-0.491936,12.8559,336.71,CANDIDATE
7196.01,39464158,PC,2.7998534,1.415,27117.0,12.343,755.0,54.1418,4412.0,4.55,0.73,263.018737,34.379808,13.3874,275.204,CANDIDATE
7197.01,415377888,PC,2.5122863,2.23,11307.0,15.8933,1484.0,806.804,6156.0,4.14,1.53,276.899502,5.453143,13.0147,754.266,CANDIDATE
7198.01,317170536,PC,4.2271814,3.25,15027.0,13.559,1270.0,433.056,5913.0,4.31,1.2,280.261211,28.442042,13.0084,661.423,CANDIDATE
7199.01,310586478,PC,3.1540886,1.662,23864.0,11.8788,803.0,69.3081,4521.0,4.55,0.74,284.563342,-12.472988,13.1385,253.784,CANDIDATE
720.01,131419878,FP,3.16043,1.922,203.33,2.38866,1388.0,616.95,6482.3,4.21,1.52,118.037196,-37.799016,8.8154,151.634,FALSE POSITIVE
7200.01,205044976,PC,5.0660693,2.042,18438.0,12.5338,827.0,77.8993,5269.0,4.4,1.0,288.992867,-10.525068,13.3775,492.764,CANDIDATE
7201.01,159893748,PC,7.2229767,4.132,16049.0,,1061.0,210.76,5753.1,,,269.537642,38.475868,13.129,532.126,CANDIDATE
7202.01,116262653,PC,7.7600907,1.477,16068.0,16.1727,640.0,27.9358,5940.0,4.27,1.27,268.053549,39.591927,13.3328,848.758,CANDIDATE
7203.01,44388479,PC,5.7351935,2.927,18384.0,9.87741,900.0,108.999,5042.0,4.59,0.77,267.339012,12.649502,13.4285,375.023,CANDIDATE
7204.01,71083829,PC,3.8080897,2.916,8079.0,11.3715,1382.0,606.114,6343.0,4.26,1.38,301.736864,-8.701088,11.5415,425.046,CANDIDATE
7205.01,345009464,PC,3.4844157,2.963,11801.0,11.7346,1362.0,572.114,5917.0,4.38,1.11,296.828282,13.119724,13.335,694.793,CANDIDATE
7206.01,120313529,PC,3.5689392,0.9,3138.0,7.89993,823.0,76.3043,6326.0,4.28,1.35,284.597795,38.145812,12.6594,730.775,CANDIDATE
7207.01,342276668,PC,12.0080349,4.649,2736.0,7.16846,,211.426,6554.0,,1.5,295.712167,14.194223,11.0587,387.323,CANDIDATE
7208.01,388371132,PC,3.6366231,3.385,8385.0,12.4438,1441.0,717.115,5978.0,4.16,1.44,300.258294,13.392295,12.4574,620.15,CANDIDATE
7209.01,425706173,PC,2.6343177,4.765,3792.0,13.5381,2563.0,7168.32,7495.0,3.92,2.39,288.208639,28.950899,12.6037,1488.49,CANDIDATE
721.01,38571020,PC,12.2877358,4.445,315.0,2.09232,935.0,127.181,6008.62,4.21807,1.3,63.199385,-64.347805,10.1805,206.294,CANDIDATE
7210.01,466928064,PC,2.2609143,1.972,3320.0,13.2504,1821.0,1826.44,6453.0,,2.2,311.73374,1.824063,12.0768,975.125,CANDIDATE
7211.01,374800835,PC,10.548504,2.901,7496.0,7.83737,717.0,44.0719,5421.0,4.48,0.92,308.295413,10.706462,12.2983,322.309,CANDIDATE
